tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0076759,Star Wars: Episode IV - A New Hope,1977,"Action,Adventure,Fantasy","['nm0000434', 'nm0000148', 'nm0000402', 'nm0000027', 'nm0001088']",121,8.6,English,United States ,1566475,11.0,775.4,"In a period of galactic civil war, Rebel Alliance spies have stolen blueprints  to the Death Star, a colossal space station built by the Galactic Empire that is capable of destroying entire planets. Princess Leia Organa of Alderaan, secretly a rebel leader, has obtained the schematics, but her ship is intercepted and boarded by Imperial forces under the command of Darth Vader. Leia is taken prison..."
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy","['nm0000434', 'nm0000148', 'nm0000402', 'nm0001850', 'nm0000355']",124,8.7,English,United States,1501332,30.5,549.5,"Three years after the destruction of the Death Star,[iii] the Imperial fleet, led by Darth Vader, dispatches probe droids across the galaxy in search of the Rebel Alliance. One probe locates the Rebel base on the ice planet Hoth. A wampa captures Luke Skywalker before he can investigate the probe crash site, but he escapes by using the Force to retrieve his lightsaber and wound the beast. Before L..."
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy","['nm0000434', 'nm0000148', 'nm0000402', 'nm0001850', 'nm0000355']",131,8.3,English,United States,1206896,37.6,482.0,"One year after Han Solo's capture and imprisonment in carbonite,[a] C-3PO and R2-D2 enter the palace of the crime lord Jabba the Hutt on Tatooine. They were sent as a goodwill gift by Luke Skywalker, who hopes to negotiate with Jabba for Han's release. Disguised as a bounty hunter, Princess Leia infiltrates the palace under the pretense of having captured Chewbacca. She releases Han from the carbo..."
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi","['nm5397459', 'nm3915784', 'nm1209966', 'nm1727304', 'nm0000148']",138,7.7,English,United States,1024047,587.2,2071.0,"Thirty years after the Battle of Endor,[a] the First Order has risen from the fallen Galactic Empire and seeks to end the New Republic. The Resistance led by General Leia Organa opposes the First Order. Leia also searches for her lost twin brother Luke Skywalker...."
tt10872600,Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy","['nm4043618', 'nm4043618', 'nm3918035', 'nm1212722', 'nm8188622']",148,8.1,English,United States,1015964,200.0,1921.0,"After Quentin Beck frames Peter Parker for his murder and reveals that Peter is Spider-Man,[a] the Department of Damage Control arrests Peter; his girlfriend, Michelle ""MJ"" Jones-Watson; his best friend, Ned Leeds; and his aunt, May Parker. Lawyer Matt Murdock gets Peter's charges dropped, but the group grapples with negative publicity. After Peter's, MJ's, and Ned's MIT applications are rejected,..."
tt0208092,Snatch,2000,"Comedy,Crime","['nm0005458', 'nm0000093', 'nm0334318', 'nm0005068', 'nm0011744']",102,8.2,English,United Kingdom,975438,10.0,83.6,"A gang of robbers, disguised as Orthodox Jews, steal an 84-carat (16.8 g) diamond during a heist in Antwerp. Franky Four-Fingers, the gang's leader, travels to London to see diamond dealer Doug the Head on behalf of Jewish-American organised crime figure Cousin Avi to fence the stolen diamonds. One of the robbers suggests that he visits arms dealer and ex-KGB agent Boris the Blade in London to sec..."
tt0145487,Spider-Man,2002,"Action,Adventure,Sci-Fi","['nm0001497', 'nm0001497', 'nm0000379', 'nm0000353', 'nm0000353']",121,7.4,English,United States,965824,139.0,826.8,"On a high school field trip, Peter Parker visits a Columbia University genetics laboratory with his best friend, Harry Osborn, and his love interest, Mary Jane Watson. There, he is bitten by a genetically engineered spider, and falls ill upon returning home. Meanwhile, Harry's father Norman tests a performance-enhancing chemical on himself in an attempt to secure a military contract for Oscorp, th..."
tt0245429,Spirited Away,2001,"Adventure,Animation,Family","['nm0997115', 'nm0383708', 'nm0622412', 'nm0622412', 'nm0619822']",124,8.6,Japanese,Japan,963920,19.2,396.0,"Ten-year-old Chihiro Ogino and her parents Akio and Yūko travel to their new home. Akio, driving down an unexpected road, ends up in front of a tunnel leading to what appears to be an abandoned resort town, which her parents insist on exploring over Chihiro's protests. Upon finding a seemingly empty restaurant stocked with food, Chihiro's parents immediately begin to eat. While exploring further, ..."
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action,Adventure,Fantasy","['nm0000191', 'nm0000553', 'nm0000204', 'nm0000204', 'nm0005157']",136,6.5,English,United States,924288,113.8,1047.0,"The Trade Federation has disrupted order in the Galactic Republic by blockading the planet Naboo in secret preparation for a full-scale invasion. The Republic's leader, Supreme Chancellor Finis Valorum, dispatches Jedi Master Qui-Gon Jinn and his apprentice, Obi-Wan Kenobi, to negotiate with Trade Federation Viceroy Nute Gunray. Darth Sidious, a Sith Lord and the Trade Federation's secret benefact..."
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy","['nm0159789', 'nm0000204', 'nm0000191', 'nm0000168', 'nm0001519']",140,7.7,,,919210,,,"Anakin Skywalker and Obi-Wan Kenobi arrive on board the Invisible Hand, the Separatist flagship of General Grievous, who has kidnapped Supreme Chancellor Palpatine above Coruscant. After battling droids in the main hangar bay and ascending the elevators, the duo arrives at the general's quarters, where Palpatine is being held. However, they are then confronted by Grievous' master Count Dooku and i..."
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Action,Adventure,Fantasy","['nm0159789', 'nm0000204', 'nm0000191', 'nm0000489', 'nm0000168']",142,6.6,English,United States,818561,115.0,653.8,"Ten years after the Battle of Naboo,[a] the Galactic Republic is threatened by a Separatist movement organized by Count Dooku, a former Jedi Master who mentored Qui-Gon Jinn. Former Queen turned Senator Padmé Amidala travels to Coruscant to vote against a motion to create an army to assist the Jedi against the growing menace. After narrowly avoiding an assassination attempt from bounty hunter Zam ..."
tt2250912,Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi","['nm4043618', 'nm4043618', 'nm0000474', 'nm0000474', 'nm0000375']",133,7.4,English,United States,794931,175.0,880.9,"Following the Battle of New York in 2012,[a] Adrian Toomes and his salvage company are contracted to clean up the city, but their operation is taken over by the Department of Damage Control (DODC), a partnership between Tony Stark and the U.S. government. Enraged at being driven out of business, Toomes persuades his employees to keep the Chitauri technology they have already scavenged and use it t..."
tt4633694,Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation","['nm4271336', 'nm2159926', 'nm2794962', 'nm0991810', 'nm3109964']",117,8.4,English,United States,785662,,,"Spider-Man: Beyond the Spider-Verse begins immediately after the events of Spider-Man: Across the Spider-Verse (2023), following Miles Morales trapped and on the run in an alternate universe while trying to save his family.[1][2][3]..."
tt0316654,Spider-Man 2,2004,"Action,Adventure,Sci-Fi","['nm0001497', 'nm0001497', 'nm0000379', 'nm0000547', 'nm0000547']",127,7.5,English,United States,782716,200.0,795.9,"Two years after Norman Osborn's death,[a] Peter Parker struggles to balance his personal life with his crime-fighting as Spider-Man. He juggles multiple jobs and faces overdue rent and schoolwork as his Aunt May is being evicted. Daily Bugle editor J. Jonah Jameson criticizes Spider-Man in the paper, and Peter's best friend, Harry Osborn, blames Spider-Man for his father's death and resents Peter ..."
tt1386697,Suicide Squad,2016,"Action,Adventure,Fantasy","['nm0000226', 'nm0001467', 'nm3053338', 'nm0205626', 'nm2968738']",123,5.9,English,United States ,758551,175.0,749.2,"In the aftermath of Superman's death,[b] intelligence officer Amanda Waller convinces the U.S. government to greenlight Task Force X, a response team of criminals and supervillains. The team will be used to combat metahuman threats, under Waller's control via nanite bombs implanted in each criminal's neck, which can be remotely detonated if they try to rebel or escape. If successful, they will hav..."
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy","['nm5397459', 'nm3915784', 'nm0000434', 'nm0000434', 'nm0000402']",152,6.8,English,United States,717012,378.9,1334.0,"Shortly after the Battle of Starkiller Base,[a] General Leia Organa and the Resistance are evacuating their base when the First Order fleet arrives. Against Leia's orders, Poe Dameron leads a costly counterattack that destroys a 
First Order dreadnought. The remaining Resistance escapes into hyperspace, but the First Order uses a device to track them and attacks again. Kylo Ren hesitates to fire o..."
tt0413300,Spider-Man 3,2007,"Action,Adventure,Sci-Fi","['nm0001497', 'nm0001497', 'nm0000379', 'nm0333410', 'nm0333410']",139,6.3,English,United States,698581,304.0,895.9,"Peter Parker plans to propose to Mary Jane Watson, who has made her Broadway debut. While he is on a date with her in Central Park, an extraterrestrial symbiote oozes out of a fallen meteorite and attaches to his moped. Harry Osborn, knowing Peter is Spider-Man, seeks to avenge the death of his father, Norman. He uses his father's performance-enhancing gas and Green Goblin technology to battle Pet..."
tt0829482,Superbad,2007,Comedy,"['nm0148418', 'nm1706767', 'nm2395586', 'nm0352778', 'nm0736622']",113,7.6,English,United States,691956,18.75,170.8,"Seth and Evan are unpopular high school seniors who have been best friends since childhood, and hope to lose their virginities before going to different colleges. Jules, a girl Seth is attracted to, invites him to a party at her house. Seth and Evan's friend Fogell has a fake ID, so Seth promises to buy Jules alcohol. Evan runs into Becca, with whom he is infatuated, and offers to get her alcohol ..."
tt0796366,Star Trek,2009,"Action,Adventure,Sci-Fi","['nm1517976', 'nm0704270', 'nm0670408', 'nm0000559', 'nm0051509']",127,7.9,English,United States,637868,150.0,385.7,"In 2233, the Federation starship USS Kelvin investigates a ""lightning storm"" in space. A Romulan ship, Narada, emerges from the storm and attacks the Kelvin, then demands that Kelvin's Captain Robau come aboard to negotiate a truce. Robau is questioned about the current stardate and an ""Ambassador Spock"", whom he does not recognize. Narada's commander, Nero, kills him, and resumes attacking the Ke..."
tt6320628,Spider-Man: Far from Home,2019,"Action,Adventure,Comedy","['nm4043618', 'nm4043618', 'nm0000168', 'nm0350453', 'nm0350453']",129,7.3,English,United States,636833,160.0,1133.0,"In Ixtenco, Mexico, Nick Fury and Maria Hill investigate an unnatural storm and encounter the Earth Elemental. Quentin Beck, a super-powered individual, arrives and defeats the creature. Fury and Hill subsequently recruit him. In New York City, the Midtown School of Science and Technology completes its year, which was restarted to accommodate the students who disintegrated five years earlier due t..."
tt4972582,Split,2016,"Horror,Thriller","['nm0564215', 'nm0564215', 'nm0564215', 'nm5896355', 'nm4726634']",117,7.3,English,United States,619684,9.0,278.5,"Just outside Philadelphia, three teenage girls — friends Claire and Marcia, and their classmate Casey — are waiting in the car of Claire's father to be driven home from her birthday party. They are kidnapped by a man, who imprisons them in an underground lair. It becomes clear that this man has dissociative identity disorder (DID) rooted in his history of childhood abuse and abandonment. The man h..."
tt0945513,Source Code,2011,"Action,Drama,Mystery","['nm0350453', 'nm1157358', 'nm0267812', 'nm0942482', 'nm2260797']",93,7.5,English,United States    France ,581521,32.0,147.3,"U.S. Army pilot Captain Colter Stevens wakes up on a Metra[6] commuter train going into Chicago. He is disoriented, as his last memory was of flying a mission in Afghanistan. However, to the world around him – including his friend Christina Warren and his reflection in the train's windows and mirrors – he appears to be a different man: a school teacher named Sean Fentress. As he expresses his conf..."
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,"Action,Adventure,Fantasy","['nm5397459', 'nm3915784', 'nm1209966', 'nm3485845', 'nm0000434']",141,6.3,English,United States,540519,541.95,1077.0,"A year after the Battle of Crait,[c] the resurrected Emperor Palpatine sends a message of revenge to the galaxy. Kylo Ren obtains a Sith wayfinder that leads him to the hidden planet Exegol, where Palpatine reveals himself as the power behind Snoke and the First Order. Palpatine unveils his armada of Star Destroyers and offers it to Kylo if he finds and kills Rey, who is continuing her Jedi traini..."
tt1895587,Spotlight,2015,"Biography,Crime,Drama","['nm0749263', 'nm0000474', 'nm1046097', 'nm0000630', 'nm0805476']",129,8.1,English,United States,534456,20.0,98.7,"In 1976, at a Boston Police station, two policemen discuss the arrest of Fr. John Geoghan for child molestation. A high-ranking cleric talks to the mother of the victims, assuring her that Geoghan will be removed from the parish. An assistant district attorney visits the precinct and tells the policemen to keep the arrest secret from the press. The mother declines to press charges and Geoghan is q..."
tt9362722,Spider-Man: Across the Spider-Verse,2023,"Action,Adventure,Animation","['nm4271336', 'nm2794962', 'nm3109964', 'nm0904967', 'nm2159926']",140,8.5,English,United States,519952,,,"Spider-Man: Beyond the Spider-Verse begins immediately after the events of Spider-Man: Across the Spider-Verse (2023), following Miles Morales trapped and on the run in an alternate universe while trying to save his family.[1][2][3]..."
tt1408101,Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi","['nm1517976', 'nm0704270', 'nm0757855', 'nm1212722', 'nm0000559']",132,7.7,English,United States,510047,187.5,467.4,"In 2259, Captain James T. Kirk is removed from command of the starship USS Enterprise for violating the Prime Directive by revealing the ship to the primitive inhabitants of the planet Nibiru to save them, and Spock, from a cataclysmic volcanic eruption. Admiral Christopher Pike is reinstated as commanding officer, and Kirk is demoted to first officer. Spock is transferred to another ship. Shortly..."
tt2379713,Spectre,2015,"Action,Adventure,Thriller","['nm0185819', 'nm0910607', 'nm2244205', 'nm0000146', 'nm0000899']",148,6.8,English,United Kingdom    United States ,495614,272.5,880.7,"A cryptic message from the previous M leads MI6 agent James Bond to carry out a mission in Mexico City, foiling a bombing attempt at the Mexico City Metropolitan Cathedral during the Day of the Dead festival. Bond obtains a ring, stylised with an octopus, from deceased attacker Marco Sciarra and uncovers his connection to a secret organisation...."
tt0092005,Stand by Me,1986,"Adventure,Drama","['nm0000696', 'nm0000203', 'nm0000397', 'nm0005278', 'nm0000662']",89,8.1,English,United States,486785,7.75,52.0,"In 1985, writer Gordon ""Gordie"" Lachance sees a newspaper article that attorney Chris Chambers was murdered. In an extended flashback, Gordie recounts a Labor Day weekend in 1959, when he was 12 years old:..."
tt2948372,Soul,2020,"Adventure,Animation,Comedy","['nm0004937', 'nm0275486', 'nm0636218', 'nm1344302', 'nm0103797']",100,8.0,English,United States,446648,150.0,122.2,"In New York City, pianist Joe Gardner teaches music part-time at a middle school while dreaming of playing jazz professionally. When he receives an offer to teach full-time, his mother Libba urges him to accept, although Joe is resistant. Joe learns famous jazz musician Dorothea Williams has an opening in her quartet and auditions at a jazz club. Impressed with his piano playing, Dorothea hires hi..."
tt0111257,Speed,1994,"Action,Adventure,Thriller","['nm0000206', 'nm0000454', 'nm0000113', 'nm0608012', 'nm0001099']",116,7.3,English,United States,422506,33.5,350.4,"LAPD SWAT bomb disposal officers Jack Traven and Harry Temple are tasked with preventing a bombing on a city elevator containing 13 people, masterminded by an extortionist, Howard Payne. After narrowly rescuing the passengers, the duo hunt down Payne, during which Harry is wounded to stop Payne from taking him hostage. Payne seemingly blows himself up, and Jack and Harry are later awarded medals i..."
tt1706620,Snowpiercer,2013,"Action,Sci-Fi,Thriller","['nm0262635', 'nm0068260', 'nm0842770', 'nm0000438', 'nm0814280']",126,7.1,English    Korean ,South Korea     United States     France     Czech Republic  ,419893,40.0,86.8,"In 2014, an attempt to stop climate change via stratospheric aerosol injection catastrophically backfires, creating a new ice age that destroys life on Earth. For 17 years, the remnants of humanity shelter in a state-of-the-art self-sustaining circumnavigational train, the Snowpiercer, run by reclusive transportation magnate Wilford. The passengers on the train are segregated, with the elite in th..."
tt3778644,Solo: A Star Wars Story,2018,"Action,Adventure,Sci-Fi","['nm2403277', 'nm0000437', 'nm3592338', 'nm2255973', 'nm6934058']",135,6.9,English,United States,408181,332.75,393.0,"On the planet Corellia, orphans Han and Qi'ra escape a local gang. They bribe an Imperial officer with stolen coaxium, a starship fuel, for passage on a transport, but Qi'ra is captured before she can board. Han vows to return for her and joins the Imperial Navy as a flight cadet, being given the surname ""Solo""...."
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,2007,"Drama,Horror,Musical","['nm0000136', 'nm0000307', 'nm0000614', 'nm0001758', 'nm0056187']",116,7.3,English,United Kingdom   United States ,406134,50.0,153.4,"In 1846, Benjamin Barker, a barber, arrives in London, accompanied by the young sailor Anthony Hope. A flashback reveals that sixteen years prior, Benjamin was falsely convicted and exiled to Australia by the corrupt Judge Turpin, who lusted after Benjamin's wife, Lucy (""No Place Like London""). Benjamin adopts the alias ""Sweeney Todd"" and returns to his old shop on Fleet Street, situated above Nel..."
tt1650062,Super 8,2011,"Action,Sci-Fi,Thriller","['nm1102577', 'nm1404488', 'nm0151419', 'nm1525807', 'nm0875768']",112,7.0,English,United States,380524,50.0,260.1,"In 1979, Deputy Sheriff Jack Lamb of Lillian, Ohio and his 14-year-old son Joe mourn the death of wife and mother Elizabeth in a workplace accident. Jack blames Elizabeth's co-worker Louis Dainard for the accident, as Dainard had a hangover, resulting in Elizabeth having to cover his shift. Joe clings to his mom's memory in the form of a locket...."
tt0120201,Starship Troopers,1997,"Action,Adventure,Sci-Fi","['nm0000680', 'nm0000612', 'nm0000539', 'nm0000998', 'nm0000439']",129,7.3,English,United States,345525,105.0,121.0,"In the future,[i] Earth is governed by the United Citizen Federation, a stratocratic regime founded generations earlier by ""veterans"" after democracy and social scientists brought civilization to the brink of ruin. Citizenship is exclusively earned through federal service, which grants rights—like voting and procreation—that are withheld from ordinary civilians. Humans, who are now capable of inte..."
tt0838283,Step Brothers,2008,Comedy,"['nm0002071', 'nm0000604', 'nm0005460', 'nm0420955', 'nm0004395']",98,6.9,English,United States,340642,65.0,128.1,"Thirty-nine-year-old Brennan Huff and forty-year-old Dale Doback are immature adults who still live with their respective single parents. Brennan's divorced mother, Nancy, meets Dale's widowed father, Robert, and they marry, forcing Brennan and Dale to grudgingly live together as stepbrothers. A fight breaks out when Brennan touches Dale's drum set despite Dale's warnings, and Nancy and Robert sus..."
tt3263904,Sully,2016,"Biography,Drama,History","['nm0000158', 'nm0001173', 'nm0001473', 'nm0536723', 'nm0364257']",96,7.4,English,United States,321644,60.0,240.8,"On January 15, 2009, captain Chesley ""Sully"" Sullenberger and first officer Jeff Skiles take off in US Airways Flight 1549 from LaGuardia Airport. During climbout, the Airbus A320 strikes a flock of birds, damaging both engines. Without much time to think, they judge themselves as unable to reach nearby airports (Teterboro Airport being the closest), and Sully ditches the disabled plane onto the i..."
tt1735898,Snow White and the Huntsman,2012,"Action,Adventure,Drama","['nm0829576', 'nm1165110', 'nm0000234', 'nm3510471', 'nm0819874']",127,6.1,English,United States  ,314659,170.0,396.6,"While admiring a bright red rose blooming during a white winter, Queen Eleanor of Tabor pricks her finger on its thorns. Three drops of blood fall onto the snow, and she wishes for a daughter with skin as white as snow, lips as red as blood, hair as black as a raven's wings, and a heart as strong as the rose...."
